ScientificName,order,family,CommonName,GPT4_Desc,Expert Annotation
Feltia subterranea,Lepidoptera,Noctuidae,"granulate cutworm,tawny shoulder","['feltia subterranea, commonly known as the subterranean dart or granulate cutworm, is a moth species in the family noctuidae. here are some morphological identifying features of feltia subterranea:', '1. size: adult moths have a wingspan of about 35-40 mm.', '2. color: the forewings of feltia subterranea are generally grayish-brown with a mottled or speckled appearance. the hindwings are paler, usually light gray or off-white.', '3. markings: the forewings have several distinct markings, including a dark, kidney-shaped reniform spot and a round orbicular spot. there is also a faint, wavy antemedial line and a more distinct, zigzag postmedial line.', '4. fringe: the outer edge of the forewings has a fringe of lighter-colored scales, often with a row of dark dots.', '5. body: the body of the adult moth is covered in grayish-brown scales, with a lighter-colored underside.', '6. antennae: the antennae of male feltia subterranea are bipectinate, meaning they have comb-like projections on both sides. female antennae are filiform or thread-like.', '7. legs: the legs of feltia subterranea are covered in grayish-brown scales and have small spines or setae.', '8. larvae: the larval stage, known as the cutworm, is a smooth, hairless caterpillar that is grayish-brown with a pale longitudinal stripe on each side. the head capsule is brown with dark markings.', '9. pupae: the pupae of feltia subterranea are dark brown and encased in a loose cocoon made of soil particles.', 'to accurately identify feltia subterranea, it is essential to examine the combination of these morphological features, as some may be shared with other related species.']",Greyish to brownish with white colored wings moth
Aiolopus strepens,Orthoptera,Acrididae,Grasshopper,"['aiolopus strepens, commonly known as the moroccan locust, is a species of grasshopper belonging to the family acrididae. here are some morphological identifying features of aiolopus strepens:', '1. size: adult aiolopus strepens are medium-sized grasshoppers, typically ranging from 20 to 35 mm in length.', '2. coloration: they exhibit variable coloration, with shades of brown, green, and yellow. the body is often mottled or striped, which helps them blend into their surroundings.', '3. head: the head of aiolopus strepens is large and rounded, with relatively large, protruding eyes.', '4. antennae: they have relatively short antennae, which are usually shorter than the length of the head.', '5. wings: aiolopus strepens has two pairs of wings. the forewings, or tegmina, are narrow and elongated, covering the hind wings when at rest. the hind wings are broader and membranous, used for flight.', '6. legs: the hind legs of aiolopus strepens are large and powerful, adapted for jumping. the femur (upper part) of the hind legs often has a dark band or stripe, and the tibia (lower part) is typically green or yellow.', '7. pronotum: the pronotum (the plate-like structure covering the thorax) is saddle-shaped and often has dark markings or patterns.', '8. abdomen: the abdomen of aiolopus strepens is elongated and somewhat cylindrical, with a tapering end.', '9. sexual dimorphism: males and females are similar in appearance, but females are typically larger and have a more robust body. additionally, the ovipositor (egg-laying structure) in females is visible at the tip of the abdomen.', ""by observing these morphological features, one can identify aiolopus strepens among other grasshopper species. however, it is essential to consider that some of these features may vary depending on the individual's age, sex, and environmental factors.""]",Grasshopper with light brown body
Xenocatantops humilis,Orthoptera,Acrididae,Grasshopper,"['xenocatantops humilis is a species of grasshopper belonging to the family acrididae. the morphological identifying features of xenocatantops humilis include:', '1. size: they are relatively small grasshoppers, with a body length of about 15-30mm.', '2. coloration: their coloration is typically brown or greenish-brown, which helps them blend in with their grassy surroundings.', '3. head: their head is relatively small and slightly tapered, with large compound eyes and short antennae.', '4. pronotum: the pronotum (the dorsal plate covering the thorax) is saddle-shaped and extends backward, covering the base of the wings.', '5. wings: xenocatantops humilis has fully developed wings, with the forewings (tegmina) being narrow and elongated, and the hind wings being membranous and clear or slightly tinted. the wings are functional and allow the grasshopper to fly.', '6. legs: the hind legs are long and powerful, adapted for jumping. the hind femora (the large upper segment of the hind legs) are thick and bear a series of spines along the ventral edge. the tibiae (lower segments of the hind legs) are also spiny.', ""7. abdomen: the abdomen is elongated and somewhat cylindrical, with the male's being more slender than the female's. the female's abdomen ends in a sharp ovipositor (egg-laying structure) which is used for depositing eggs into the soil."", '8. cerci: the cerci (paired sensory appendages at the tip of the abdomen) are relatively short and conical.', ""these features can help identify xenocatantops humilis in the field, but it's important to note that some of these characteristics may vary between individuals and populations. additionally, a detailed examination of the genitalia may be necessary to confirm the species identification, as there are other similar-looking grasshoppers in the same family.""]",yellowish-brown locust/grasshopper and it has black stripes on it hind legs
Hamadryas februa,Lepidoptera,Nymphalidae,Gray cracker,"['hamadryas februa, commonly known as the gray cracker or the febura cracker, is a species of butterfly belonging to the family nymphalidae. here are some morphological identifying features of hamadryas februa:', '1. wingspan: the gray cracker has a wingspan of about 2.5 to 3 inches (65-75 mm).', '2. wing color and pattern: the upper side of the wings is predominantly gray or brown with a series of white bands and spots. the underside of the wings is cryptically colored to resemble tree bark, with gray, brown, and white patches and marbled patterns.', '3. wing shape: the wings are relatively broad and somewhat angular in shape, with a scalloped outer margin.', '4. eyespots: there are small, distinct eyespots near the outer margins of the wings, which serve as a defense mechanism to deter predators.', '5. sexual dimorphism: males and females are similar in appearance, but males have a slightly more iridescent blue sheen on their wings.', '6. antennae: the antennae of hamadryas februa are relatively short and club-shaped.', '7. body: the body of the gray cracker is relatively slender and covered with fine hairs.', '8. cracking sound: the gray cracker is known for its ability to produce a cracking sound when it snaps its wings open and closed. this sound is thought to be used for communication between individuals.', '9. behavior: hamadryas februa is known for its habit of resting on tree trunks with its wings closed, blending in with the bark to avoid detection by predators.']","Large white and black moth, wavy with eyespot pattern."
Lycaena xanthoides,Lepidoptera,Lycaenidae,Great copper butterfly,"['lycaena xanthoides, also known as the xanthoides copper, is a species of butterfly in the family lycaenidae. here are some morphological identifying features of this butterfly:', '1. size: lycaena xanthoides is a small butterfly, with a wingspan of approximately 20-30 mm.', '2. coloration: the upper side of the wings is primarily orange with a coppery sheen, giving the butterfly its common name. the forewings have a dark brown border, while the hindwings have a dark brown border with a row of small black spots.', '3. wing pattern: the underside of the wings is grayish-brown with a complex pattern of black spots, white markings, and orange patches. the hindwings also have a row of black spots encircled by orange, along the outer margin.', '4. sexual dimorphism: males and females of lycaena xanthoides have slightly different color patterns. males have a more extensive and brighter orange color on the upperside of the wings, while females have a more subdued orange color with larger dark brown borders.', '5. antennae: like other members of the lycaenidae family, lycaena xanthoides has long, slender antennae with club-shaped tips.', '6. body: the body of the xanthoides copper is slender and covered with fine hairs. the color of the body matches the color of the wings, with a mix of brown, orange, and grayish tones.', '7. larvae: the caterpillars of lycaena xanthoides are small and green, with a pattern of yellow and white markings along the body. they feed on plants in the buckwheat family (polygonaceae).', '8. pupa: the pupa of lycaena xanthoides is small and brown, with a mottled pattern that helps it blend in with its surroundings.', 'overall, the xanthoides copper can be identified by its small size, coppery-orange coloration, and the distinctive patterns on the underside of its wings.']",
Banasa dimidiata,Hemiptera,Pentatomidae,green burgundy stink bug,"['banasa dimidiata, also known as the green stink bug, is a species of stink bug in the family pentatomidae. the following are some morphological identifying features of banasa dimidiata:', '1. size: adult banasa dimidiata are typically around 12-14 mm in length and 7-8 mm in width.', '2. coloration: the primary color of banasa dimidiata is green. the pronotum, scutellum, and hemelytra (forewings) are mostly green, with some yellow, orange or reddish markings. the ventral side (underside) of the body is also green but may have some yellow or whitish markings.', '3. body shape: banasa dimidiata has a characteristic shield-shaped body, typical of stink bugs. the body is somewhat flattened and slightly convex.', '4. head: the head is relatively small and triangular, with large, reddish-brown or black compound eyes and a short, stout beak (rostrum) used for piercing and sucking plant tissues.', '5. antennae: banasa dimidiata has long, slender antennae that are usually five-segmented. the basal (first) segment is often thicker and shorter than the other segments, and the antennae are typically green or yellowish-green.', '6. legs: the legs are relatively long and slender, with the femora (thighs) being somewhat enlarged. the tibiae (shin) are straight and the tarsi (feet) are three-segmented. the legs are generally green or yellowish-green in color.', '7. wings: the forewings (hemelytra) are well-developed, with a leathery basal portion (corium) and a membranous apical portion (cuneus). the hindwings are membranous and are hidden beneath the forewings when not in use.', '8. abdomen: the abdomen is broad and oval, with a slightly pointed tip (apex). the ventral side of the abdomen may have a series of small, plate-like structures called connexivum, which are often visible along the edge of the abdomen.', '9. scent glands: like other stink bugs, banasa dimidiata has scent glands on the ventral side of the thorax and the abdomen, which produce a foul-smelling substance used for defense.', '10. sexual dimorphism: males and females are generally']",Light green and brown stink bug with a white-pale spot on the bottom of the shield.
Hypena scabra,Lepidoptera,Erebidae,green cloverworm,"['hypena scabra, commonly known as the green cloverworm or the rough cloverworm, is a moth species belonging to the family erebidae. the following are the main morphological identifying features of hypena scabra:', '1. size: hypena scabra has a wingspan of about 25-40 mm (approximately 1-1.5 inches).', '2. color: the forewings of hypena scabra are generally grayish-brown or grayish-green with a slight sheen. the hindwings are lighter in color, usually pale gray or off-white.', '3. wing pattern: the forewings of hypena scabra have a distinct pattern of wavy lines and dots. there is a dark, jagged antemedial line, a postmedial line, and a subterminal line that runs parallel to the outer margin of the wing. there is also a small, dark discal spot in the middle of the wing.', '4. hindwing pattern: the hindwings of hypena scabra are relatively plain, with a faint discal spot and a postmedial line that is often barely visible.', '5. body: the body of hypena scabra is slender and covered in hair-like scales. the thorax is the same color as the forewings, while the abdomen is lighter in color, usually gray or off-white.', '6. antennae: the antennae of hypena scabra are filiform (thread-like) in both males and females, with males having slightly thicker antennae.', '7. legs: the legs of hypena scabra are relatively long and slender, with the same coloration as the body.', '8. larvae: the larvae of hypena scabra, known as green cloverworms, are green with a thin white stripe running along each side of the body. they have three pairs of prolegs and are known for their characteristic looping movement when disturbed.', 'these morphological features can help in identifying hypena scabra from other moth species. however, it is essential to consider the geographical distribution and host plants associated with this species for a more accurate identification.']",Blackish-brown moth
Orthosia hibisci,Lepidoptera,Noctuidae,green fruitworm,"['orthosia hibisci, commonly known as the speckled green fruitworm or hibiscus fruitworm, is a moth species in the family noctuidae. here are some morphological identifying features of orthosia hibisci:', '1. size: adult moths have a wingspan of about 30-45 mm.', '2. color: the forewings of adult moths are usually pale to dark brown with variable greenish or grayish shades. the hindwings are usually paler with a brownish tint.', '3. markings: the forewings have several wavy, dark transverse lines and a distinct dark spot near the center of the wing (the orbicular spot). there is also a kidney-shaped spot (the reniform spot) on the forewings, which may be less distinct.', '4. shape: the wings have a somewhat triangular shape with slightly scalloped edges.', '5. antennae: males have bipectinate (comb-like) antennae, while females have simple, thread-like antennae.', '6. body: the body of the moth is stout and covered with hair-like scales.', '7. larvae: the caterpillars are green with white or yellow longitudinal stripes, and they have a dark, narrow stripe along the center of the back. they can grow up to 45 mm in length.', '8. pupae: the pupae are brown and can be found in a loose cocoon in the soil.', '9. eggs: the eggs are round and flattened, with a slightly raised center. they are initially pale green but turn yellowish as they mature.', '10. host plants: the larvae feed on the leaves and fruits of various plants, including hibiscus, apple, cherry, and other fruit trees.']",Dark brown moth
Palomena prasina,Hemiptera,Pentatomidae,Green shield bugs,"['palomena prasina, commonly known as the green shield bug or the common green shield bug, is a species of stink bug belonging to the family pentatomidae. here are some morphological identifying features of palomena prasina:', '1. color: palomena prasina is characterized by its green color, which helps it blend in with leaves and vegetation. the color can vary from bright green to dark green, and sometimes even a bronze or brownish hue, especially in late summer and autumn.', '2. size: adult green shield bugs are about 12-14 millimeters in length.', '3. shape: the body of palomena prasina is shield-shaped, with a broad, rounded abdomen and a narrower head and thorax. the body is relatively flat, with a slightly convex dorsal surface.', '4. wings: the green shield bug has two pairs of wings. the front pair, known as hemelytra, are hardened and cover the membranous hind wings when the bug is at rest. the hemelytra have a distinct triangular shape and are divided into two parts: the corium and the clavus.', '5. antennae: palomena prasina has five-segmented antennae, with the first segment being the shortest and the last segment being the longest.', '6. legs: the green shield bug has six legs, with each leg having three segments: the femur, tibia, and tarsus. the tarsi have two claws at the end.', '7. eyes: palomena prasina has large, compound eyes on the sides of its head, as well as simple eyes called ocelli on top of its head.', '8. mouthparts: the green shield bug has piercing-sucking mouthparts, which it uses to feed on plant sap. the mouthparts consist of a long, slender tube called a rostrum, which is folded underneath the body when not in use.', '9. pronotum: the pronotum is a large, shield-like plate that covers the thorax and is located behind the head. in palomena prasina, the pronotum is green and has a distinct, raised central ridge.', '10. scutellum: the scutellum is a small, triangular plate located between the hemelytra. in the green shield bug, the scutellum is green and slightly raised.', '11. abdominal markings: the abdomen of palomena prasina has']",Shield bug with bright green to bronze body. Dark wings.
Chinavia hilaris,Hemiptera,Pentatomidae,"green stink bug, green soldier bug","['chinavia hilaris, commonly known as the green stink bug, has several morphological identifying features that help distinguish it from other stink bug species. these features include:', '1. coloration: chinavia hilaris is predominantly green, with a slightly metallic sheen. the color can vary from bright green to a dull, yellowish-green depending on the individual and its environment.', '2. size: adult green stink bugs are relatively large, with a body length of approximately 14-19 mm.', '3. shape: like other stink bugs, chinavia hilaris has a shield-shaped body with a broad, triangular scutellum. the body is somewhat flattened and elongated.', '4. antennae: the antennae of chinavia hilaris are relatively long and slender, with five segments. the first two segments are typically green, while the last three are black or dark brown.', '5. legs: the legs of the green stink bug are also green, with dark brown or black patches at the joints and tips.', '6. wings: the wings of chinavia hilaris are held flat over the abdomen when at rest. the membranous portion of the wings is typically translucent, while the thickened, leathery portion is green.', '7. pronotum: the pronotum (the plate-like structure behind the head) is green and has a distinct, narrow yellow or orange border along the outer edge.', '8. eyes: the eyes of chinavia hilaris are reddish-brown in color.', '9. mouthparts: like other stink bugs, chinavia hilaris has piercing-sucking mouthparts, which they use to feed on plant sap.', '10. odor: as the common name suggests, green stink bugs produce a characteristic foul-smelling odor when threatened or disturbed. this odor is produced by glands located on the underside of the thorax.', 'these morphological features can help identify chinavia hilaris and distinguish it from other stink bug species. however, it is essential to consider the specific characteristics of individual specimens and their environment, as some variation may occur.']","Shield shaped green bug, end of body darker green to brown patch. Green antennae, few black patches."
Diachrysia balluca,Lepidoptera,Noctuidae,Green-Patched Looper,"['diachrysia balluca, commonly known as the burnished brass moth, is a species of moth in the family noctuidae. here are some morphological identifying features of diachrysia balluca:', '1. size: the wingspan of diachrysia balluca typically ranges from 28 to 35 mm.', '2. color: the forewings of this moth are predominantly greenish-yellow with a metallic sheen, giving it a ""burnished brass"" appearance. the hindwings are a duller brownish-gray color.', '3. markings: the forewings of diachrysia balluca have a few distinct markings, including a dark, jagged, transverse line near the middle of the wing, and a smaller, similarly shaped line near the outer edge of the wing. there is also a small, dark, kidney-shaped mark near the center of the wing, known as the reniform stigma.', '4. antennae: the antennae of diachrysia balluca are filiform (thread-like) and relatively short.', '5. body: the body of the moth is stout and covered in dense, hair-like scales. the thorax and abdomen are typically the same greenish-yellow color as the forewings.', '6. sexual dimorphism: there is little sexual dimorphism in diachrysia balluca, with both males and females having similar coloration and markings. however, males tend to have slightly larger and more feathery antennae than females.', '7. larval stage: the caterpillars of diachrysia balluca are green with a series of white, diagonal stripes along the sides of their body. they also have a series of black, v-shaped markings along their back and a black head capsule.']",Brown moth with green patch
Chortophaga viridifasciata,Orthoptera,Acrididae,Green-striped grasshopper,"['chortophaga viridifasciata, commonly known as the green-striped grasshopper, has several morphological features that can help in identifying it. these features include:', '1. coloration: as the name suggests, the green-striped grasshopper has a distinct green coloration on its body, with a contrasting green and brown striped pattern. the base color of the body can vary from green to brown, but the green stripes are usually present on the back and sides of the body.', '2. size: the adult green-striped grasshopper is medium-sized, with a body length of about 1 to 1.5 inches (25 to 37 mm). males are usually smaller than females.', '3. body shape: chortophaga viridifasciata has a robust body with a relatively large head and short antennae. its body is somewhat flattened and slightly tapered towards the rear.', '4. wings: the green-striped grasshopper has two pairs of wings. the forewings, or tegmina, are relatively short and narrow, covering only a part of the abdomen. they have a distinct green stripe along the edge. the hindwings are longer and broader, with a transparent or pale yellowish color and a dark band towards the tip.', '5. legs: the hind legs of chortophaga viridifasciata are long and powerful, adapted for jumping. the femur (upper part of the hind leg) has a green stripe on the outer side and is often brown or reddish on the inner side. the tibia (lower part of the hind leg) is usually green with black spines.', '6. eyes: the eyes of the green-striped grasshopper are large and rounded, with a brown or reddish color.', '7. sexual dimorphism: males and females of chortophaga viridifasciata can be distinguished by the shape of their abdomen. males have a more slender abdomen, while females have a broader, more rounded abdomen, which is also longer to accommodate the developing eggs.', 'these morphological features can help in identifying chortophaga viridifasciata. however, it is essential to keep in mind that there can be some variation in color and pattern within the species, so it is always good to consult a field guide or expert for confirmation.']",Brown (male) or green (female) grasshopper with a darker line along the middle of its body.
Amata huebneri,Lepidoptera,Erebidae,HÃ¼bner's Wasp Moth ,"[""amata huebneri, commonly known as hübner's wasp moth, is a species of moth in the family erebidae. the following are some morphological identifying features of amata huebneri:"", '1. size: amata huebneri moths are small to medium-sized, with a wingspan of about 25-35 mm.', '2. wings: the forewings and hindwings of amata huebneri are mostly transparent, with a few dark spots and a dark border. the wings are also characterized by a reticulated pattern, with dark veins running through the transparent areas.', '3. body: the body of amata huebneri is black with yellow or orange bands, giving it a wasp-like appearance. this is an example of batesian mimicry, where a harmless species mimics the appearance of a harmful or unpalatable species to deter predators.', '4. antennae: the antennae of amata huebneri are bipectinate (comb-like on both sides) in males and filiform (thread-like) in females.', '5. legs: the legs of amata huebneri are black with yellow or orange bands, similar to the body coloration.', '6. abdomen: the abdomen of amata huebneri is cylindrical, with a series of black and yellow or orange bands. the tip of the abdomen is typically black.', ""these features, along with the moth's characteristic flight pattern, which resembles that of a wasp, can help in identifying amata huebneri. however, it is essential to note that there are several other species within the genus amata that have similar appearances, so a more detailed examination may be necessary for a definitive identification.""]",Moth. Orange and black striped thorax. Transparent spotted wings. Long antennae.
Enallagma hageni,Odonata,Coenagrionidae,Hagen's Bluet,"[""enallagma hageni, commonly known as hagen's bluet, is a species of damselfly in the family coenagrionidae. the morphological identifying features of enallagma hageni include:"", '1. size: enallagma hageni is a small to medium-sized damselfly, with a length of about 1.1 to 1.4 inches (28 to 36 mm).', '2. color: males have a bright blue and black coloration, with blue eyes and a blue face. the thorax has blue shoulder stripes and black middorsal stripes. the abdomen is mostly black with blue segments at the base and tip. females have a more subdued coloration, usually with a greenish or brownish hue instead of the bright blue seen in males.', '3. wing venation: the wings of enallagma hageni have a characteristic venation pattern, with a distinctive postnodal crossvein pattern.', '4. appendages: males have a pair of superior anal appendages (cerci) that are long and curved, and a single inferior anal appendage (paraproct) that is shorter and straight. the shape and position of these appendages are important for distinguishing enallagma hageni from other similar species.', '5. female ovipositor: the ovipositor of female enallagma hageni is short and slightly curved, with a pointed tip. this feature is used for egg-laying and can help distinguish females of this species from other similar damselflies.', ""6. habitat: enallagma hageni is typically found near slow-moving or still bodies of water, such as ponds, lakes, and marshes. they are often seen perching on vegetation near the water's edge."", 'it is essential to note that enallagma hageni can be easily confused with other species of the enallagma genus, so a combination of these morphological features, along with geographical location and habitat, should be considered for accurate identification.']",damselfly. light blue body. black stripes across body. clear wings
Bombus vagans,Hymenoptera,Apidae,Half-black bumble beeÂ ,"['bombus vagans, also known as the half-black bumblebee, is a species of bumblebee found in north america. here are some morphological identifying features of bombus vagans:', '1. size: bombus vagans is a medium-sized bumblebee, with queens measuring 17-21mm in length, workers around 9-16mm, and males around 12-16mm.', '2. coloration: the half-black bumblebee has a distinctive color pattern. the thorax is mostly yellow, with a black band across the middle. the abdomen is black with a single yellow segment (t1) at the base. queens, workers, and males all have similar color patterns.', '3. hair: like other bumblebees, bombus vagans has dense hair covering its body. the hair is relatively short and even, with a mix of yellow and black hairs depending on the body segment.', '4. wings: the wings of bombus vagans are relatively transparent with dark brown veins, and the wing membrane is slightly tinted brown.', '5. head: bombus vagans has a relatively short and wide head, with large compound eyes and relatively short antennae.', '6. mouthparts: the proboscis, or tongue, of bombus vagans is of medium length, allowing it to feed on a variety of flowers.', '7. legs: the legs of bombus vagans are stout and relatively hairy, with specialized structures on the hind legs (corbiculae) for collecting pollen.', '8. sexual dimorphism: males of bombus vagans can be distinguished from females by their longer antennae, larger eyes, and the presence of genitalia at the end of their abdomen.', 'overall, the key identifying features of bombus vagans are its medium size, distinctive yellow and black color pattern, and relatively short and wide head.']",Bee with yellow thorax and upper abdomen segments. Black dot in thorax.
Halyzia sedecimguttata,Coleoptera,Coccinellidae,orange ladybird,"['halyzia sedecimguttata, also known as the orange ladybird or the 16-spot ladybird, is a small beetle species belonging to the family coccinellidae. here are some morphological identifying features of halyzia sedecimguttata:', '1. size: halyzia sedecimguttata is a small beetle, with a body length of about 3.5 to 5.5 mm.', '2. shape: like other ladybirds, halyzia sedecimguttata has a rounded, dome-shaped body with a slightly flattened underside.', '3. color: the elytra (wing covers) of halyzia sedecimguttata are typically bright orange to yellowish-orange in color.', '4. spot pattern: as the name suggests, the orange ladybird has 16 white or cream-colored spots on its elytra. these spots are arranged in a regular pattern, with 3 rows of spots on each elytron. the first row has 2 spots, the second row has 4 spots, and the third row has 2 spots.', '5. pronotum: the pronotum (the plate-like structure covering the thorax) is also orange or yellowish-orange in color, with 6 white or cream-colored spots.', '6. head: the head of halyzia sedecimguttata is mostly black, with a white or cream-colored ""face"" and two large, black, compound eyes.', '7. legs: the legs of the orange ladybird are relatively short and slender, with black or dark brown coloration.', '8. antennae: halyzia sedecimguttata has relatively short antennae, with 8 to 10 segments. the antennae are black or dark brown in color.', '9. habitat: halyzia sedecimguttata is commonly found in deciduous woodland habitats, particularly on trees with a high presence of mildew, which is their primary food source.', '10. behavior: orange ladybirds are known for their mildew-feeding habits, and they are considered beneficial insects for controlling mildew in gardens and agricultural settings. they are also known to be more active during the daytime compared to many other ladybird species.']","Yellow-orange body, small head. Sixteen white spots on back."
Harmonia axyridis,Coleoptera,Coccinellidae,Asian lady beetle,"['harmonia axyridis, commonly known as the asian lady beetle or the harlequin ladybird, is a species of ladybird beetle native to eastern asia. the following are some of the key morphological identifying features of harmonia axyridis:', '1. size: adult harmonia axyridis are typically between 5 to 8 millimeters in length.', '2. color: these beetles exhibit a wide range of color variations, ranging from yellow, orange, or red to black. they may have anywhere from zero to 21 spots on their wing covers (elytra).', '3. pronotum: the pronotum is the plate-like structure that covers the thorax, just behind the head. in harmonia axyridis, the pronotum is typically white or cream-colored with black markings, often resembling an ""m"" or ""w"" shape.', '4. elytra: the elytra are the hardened forewings that protect the hindwings and abdomen. in harmonia axyridis, the elytra can be quite variable in color and pattern, ranging from pale yellow to red or black, and may have a varying number of spots.', '5. shape: harmonia axyridis has a dome-shaped body, which is a common feature among ladybird beetles.', '6. legs: the legs of the asian lady beetle are relatively short and black or dark brown in color.', '7. antennae: harmonia axyridis has relatively short antennae, consisting of several segments and ending in a small club-like structure.', '8. eyes: the eyes of the asian lady beetle are large and black, located on either side of the head.', '9. mouthparts: the mouthparts of harmonia axyridis are adapted for chewing, with strong mandibles for crushing their prey, which primarily consists of aphids and other small insects.', 'it is important to note that due to the wide range of color and pattern variations in harmonia axyridis, it can sometimes be difficult to distinguish this species from other ladybird beetles. however, the combination of the pronotum markings and the overall shape and size can help with identification.']",Red to yellow circular or slightly oblong lady Beetles with arranged black spots (sometimes).
Harmonia conformis,Coleoptera,Coccinellidae,the large spotted ladybird,"['harmonia conformis, also known as the large spotted ladybird or the conformist ladybird, is a species of ladybird beetle. here are some morphological identifying features of harmonia conformis:', '1. size: harmonia conformis is a relatively large ladybird, with a body length of about 6-8 mm.', '2. color: the elytra (wing covers) of harmonia conformis are typically orange or reddish-orange with black spots. the spots are usually large and irregularly shaped, covering much of the elytra surface.', '3. spot pattern: harmonia conformis typically has 6-8 black spots on each elytron, with a total of 12-16 spots on both elytra combined. the spots may sometimes be fused, creating a larger irregular pattern.', '4. pronotum: the pronotum (the plate-like structure that covers the thorax) is black with a white or pale yellow border.', '5. head: the head of harmonia conformis is black with white or pale yellow markings on the sides.', '6. legs: the legs of harmonia conformis are black or dark brown.', '7. shape: like other ladybirds, harmonia conformis has a rounded, convex body shape.', '8. antennae: the antennae of harmonia conformis are relatively short and club-shaped.', ""it's essential to note that color and spot patterns can vary between individuals, so it's crucial to consider multiple features when identifying harmonia conformis.""]",Orange ladybug. Big black dots.
Henosepilachna vigintioctopunctata,Coleoptera,Coccinellidae,28-spotted potato ladybird,"['henosepilachna vigintioctopunctata, also known as the 28-spotted potato ladybird or the 28-spotted ladybird beetle, is a species of ladybird beetle that feeds on plants, particularly from the solanaceae family, such as potatoes and eggplants. here are some morphological identifying features of this species:', '1. size: adult beetles are relatively small, measuring about 5-8 mm in length.', '2. coloration: the adult beetles have a distinctive color pattern, with a yellow-orange to reddish-orange background color on their elytra (wing covers) and pronotum (the plate covering the thorax). they have 28 black spots on their elytra, which gives them their common name. the spots are arranged in a regular pattern, with 14 spots on each elytron.', '3. shape: the body of h. vigintioctopunctata is oval and slightly convex, with a relatively wide pronotum compared to other ladybird species.', '4. head: the head is mostly black, with a pair of large, hemispherical, and black compound eyes.', '5. legs: the legs of h. vigintioctopunctata are relatively short and black, with tarsi (the last segment of the leg) that are adapted for walking and gripping on plant surfaces.', '6. antennae: the antennae of h. vigintioctopunctata are relatively short and clubbed at the end, with 11 segments.', '7. larval stage: the larvae of the 28-spotted potato ladybird are elongated, soft-bodied, and covered with branched spines. they are typically yellowish to greenish in color, with black markings.', '8. pupal stage: the pupae are yellowish-orange and are often found attached to the underside of leaves.', 'these features can help in identifying henosepilachna vigintioctopunctata from other ladybird species. however, it is essential to consider the entire suite of characteristics and consult expert resources for accurate identification.']","Rounded orange Beetle, with 28 black spots in its body. Main characteristic is one of the spots in the center of the body."
Hippodamia covergens,,,Convergent Lady beetle/13 black spots,"['hippodamia convergens, commonly known as the convergent lady beetle, is a beneficial insect known for its ability to control aphids and other pests in gardens and agricultural fields. here are some key morphological identifying features of hippodamia convergens:', '1. size: adult convergent lady beetles are relatively small, measuring about 1/4 inch (6-7 mm) in length.', '2. color: the body color of these beetles is typically orange to red, with a slight variation in hue depending on the individual.', '3. spots: convergent lady beetles have 13 black spots on their elytra (wing covers). however, the number of spots may vary, and some individuals may have fewer or no spots at all.', '4. pronotum pattern: the pronotum, the plate-like structure covering the thorax, has two distinctive white lines that converge towards the head. this is the feature that gives the species its common name, ""convergent"" lady beetle.', '5. head: the head of hippodamia convergens is mostly black with a white or pale-yellow patch on the front.', '6. shape: the body of convergent lady beetles is oval and slightly domed.', '7. legs: these beetles have six legs that are relatively short and sturdy, allowing them to move quickly and efficiently.', '8. antennae: convergent lady beetles have relatively short antennae with a clubbed end.', '9. larvae: the larvae of hippodamia convergens are elongated, somewhat flattened, and covered with small spines. they are typically dark gray or black with orange markings.', '10. pupae: the pupae of convergent lady beetles are orange and black, with a rounded shape and attached to a leaf or other surface.', 'by recognizing these morphological features, you can identify hippodamia convergens and appreciate their role as beneficial insects in controlling pests in your garden or agricultural fields.']",
Hippodamia variegata,Coleoptera,Coccinellidae,Adonis ladybird,"['hippodamia variegata, commonly known as the variegated lady beetle or adonis ladybird, is a species of lady beetle belonging to the family coccinellidae. here are some morphological identifying features of hippodamia variegata:', '1. size: adults are typically 4-6 mm in length.', '2. coloration: the elytra (wing covers) are usually pale yellow to orange with a variable number of black spots. in some cases, the spots can be fused, forming irregular black patterns.', '3. pronotum: the pronotum (the plate covering the thorax) is predominantly white or pale yellow with black markings. a key feature is the presence of a black ""m""-shaped or ""w""-shaped marking on the anterior edge of the pronotum.', '4. head: the head is mostly black with white markings on the sides.', '5. shape: the body shape is oval and slightly convex, similar to other lady beetles.', '6. legs: the legs are black or dark brown.', '7. larvae: the larvae are elongated and somewhat flattened, with a dark blue or black body and orange markings. they have six legs and are covered in small spines.', '8. pupa: the pupa is typically orange with black markings and is attached to a leaf or other substrate.', 'these features can help in identifying hippodamia variegata. however, it is important to note that there can be some variation in color and markings, so it is always best to consult an expert or a field guide for accurate identification.']",Orange ladybug. Round body. Black dots on round body. White specks on black head.
