,Scientific Name,Common Name,Order,Family
361,Clostera apicalis,"apical prominent, red-marked tentmaker",Lepidoptera,Notodontidae
362,Carterocephalus palaemon,"arctic skipper, large chequered skipper",Lepidoptera,Hesperiidae
363,Eristalis pertinax,European hoverfly.,Diptera,Syrphidae
364,Micrathyria hagenii,Thronbush Dasher,Odonata,Libellulidae
365,Rhynchophorus ferrugineus,red palm weevil,Coleoptera,Curculionidae
366,Wallengrenia otho,"Southern Broken Dash, Broken Dash Skipper",Lepidoptera,Hesperiidae
367,Schistocerca obscura,the obscure bird grasshopper,Orthoptera,Acrididae
368,Tettigonia viridissima,Great Green Bush-cricket,Orthoptera,Tettigoniidae
369,Helophilus fasciatus,"narrow-headed marsh fly, narrow-headed sun fly",Diptera,Syrphidae
370,Chauliodes rastricornis,Spring Fishfly,Megaloptera,Corydalidae
371,Rhetus arcius,Long-tailed Metalmark ,Lepidoptera,Riodinidae
372,Spilosoma lutea,Buff Ermine,Lepidoptera,Erebidae
373,Atteva aurea, ailanthus webworm,Lepidoptera,Attevidae
374,Isotenes miserana,orange fruit borer,Lepidoptera,Tortricidae
375,Atalantycha bilineata,"Two-Lined Leather-Wing, Two-Lined Cantharid",Coleoptera,Cantharidae
376,Pasiphila rectangulata,Green pug moth,Lepidoptera,Geometridae
377,Scaeva pyrastri,the pied hoverfly,Diptera,Syrphidae
378,Iridopsis defectaria,Brown-shaded Gray Moth ,Lepidoptera,Geometridae
379,Alsophila pometaria,Fall Cankerworm ,Lepidoptera,Geometridae
380,Erannis defoliaria,Mottled Umber Moth,Lepidoptera,Geometridae
381,Arctia villica,Cream-Spot Tiger,Lepidoptera,Erebidae
382,Saturnia pavonia,Small emperor moth,Lepidoptera,Saturniidae
383,Prasinocyma semicrocea,Common Gum Emerald,Lepidoptera,Geometridae
384,Abisara echerius,Plum Judy,Lepidoptera,Riodinidae
385,Pelecinus polyturator,american pelecinid wasp,Hymenoptera,Pelecinidae
386,Paraeschra georgica,Georgian prominent butterfly,Lepidoptera,Notodontidae
387,Trichopoda pennipes,Feather-legged Fly,Diptera,Tachinidae
388,Isochaetes beutenmuelleri,spun glass slug moth,Lepidoptera,Limacodidae
389,Libellula axilena,bar-winged skimmer,Odonata,Libellulidae
390,Isogona tenuis,thin-lined owlet,Lepidoptera,Erebidae
391,Diacme adipaloides,Darker Diacme Moth,Lepidoptera,Crambidae
392,Milesia virginiensis,"Yellowjacket Hover Fly, Virginia Flower Fly",Diptera,Syrphidae
393,Datana integerrima,Walnut Caterpillar Moth,Lepidoptera,Notodontidae
394,Callophrys augustinus,Brown Elfin,Lepidoptera,Lycaenidae
395,Papilio aegeus," orchard swallowtail butterfly, large citrus butterfly",Lepidoptera,Papilionidae
396,Papilio paris,Paris peacock,Lepidoptera,Papilionidae
397,Apantesis parthenice,Parthenice Tiger Moth,Lepidoptera,Erebidae
398,Megascolia maculata,Mammoth Wasp,Hymenoptera,Scoliidae
399,Enallagma praevarum,Arroyo Bluet,Odonata,Coenagrionidae
400,Chlorion aerarium,Steel-blue cricket hunter,Hymenoptera,Sphecidae
401,Eleodes obscura,"Pinacate Beetle, Desert Stink Beetle",Coleoptera,Tenebrionidae
402,Eilema depressa,"Katha Depressa, The Buff Footman",Lepidoptera,Erebidae
403,Dolycoris baccarum,"Sloe Bug, Hairy Shieldbug",Hemiptera,Pentatomidae
404,Xanthorhoe fluctuata,Garden Carpet Moth,Lepidoptera,Geometridae
405,Siphanta acuta,"torpedo bug,Fish Moth",Hemiptera,Flatidae
406,Onychogomphus forcipatus,"small pincertail, green-eyed hook-tailed dragonfly",Odonata,Gomphidae
407,Thyridopteryx ephemeraeformis,Evergreen Bagworm,Lepidoptera,Psychidae
408,Catocala micronympha,Little nymph underwing,Lepidoptera,Erebidae
409,Enallagma carunculatum,Tule Bluet,Odonata,Coenagrionidae
410,Scantius aegyptius,Mediterranean red bug,Hemiptera,Pyrrhocoridae
411,Strategus aloeus,Ox Beetle,Coleoptera,Scarabaeidae
412,Megarhyssa macrurus,Long-tailed Giant Ichneumonid Wasp,Hymenoptera,Ichneumonidae
413,Noctua comes,Lesser Yellow Underwing Moth,Lepidoptera,Noctuidae
414,Papilio rutulus,Western Tiger Swallowtail,Lepidoptera,Papilionidae
415,Meconema thalassinum,"Oak Bush-cricket,Drumming Katydid",Orthoptera,Tettigoniidae
416,Artace cribrarius,Dot-Lined White Moth,Lepidoptera,Lasiocampidae
417,Papilio dardanus,"African Swallowtail,the Flying Handkerchief",Lepidoptera,Papilionidae
418,Cicada orni,,Hemiptera,Cicadidae
419,Calliteara pudibunda,Pale tussock,Lepidoptera,Erebidae
420,Orthetrum julia,	Julia skimmer,Odonata,Libellulidae
421,Erythrodiplax funerea,Black-winged Dragonle,Odonata,Libellulidae
422,Strangalia luteicornis,,Coleoptera,Cerambycidae
423,Scoparia biplagialis,double-striped scoparia moth,Lepidoptera,Crambidae
424,Paectes abrostoloides,"large paectes moth, sweetgum defoliator",Lepidoptera,Euteliidae
425,Phyllogomphoides stigmatus,the four-striped leaftail,Odonata,Gomphidae
426,Tolype velleda,"Large Tolype Moth, Velleda Lappet Moth",Lepidoptera,Lasiocampidae
427,Pseudochorthippus parallelus,the meadow grasshopper,Orthoptera,Acrididae
428,Odezia atrata,chimney sweeper,Lepidoptera,Geometridae
429,Aricia cramera,Southern Brown Argus ,Lepidoptera,Lycaenidae
430,Paonias myops,Small-eyed sphinx,Lepidoptera,Sphingidae
431,Anticlea vasiliata,"Variable Carpet Moth, Early Carpet",Lepidoptera,Geometridae
432,Cantharis livida,soldier beetle,Coleoptera,Cantharidae
433,Eusarca confusaria,Confused eusarca,Lepidoptera,Geometridae
434,Aeshna juncea,"Common Hawker, Moorland Hawker, 
Sedge Darner",Odonata,Aeshnidae
435,Anartia fatima,Banded Peacock,Lepidoptera,Nymphalidae
436,Papaipema inquaesita,sensitive fern borer,Lepidoptera,Noctuidae
437,Triphosa haesitata,Tissue Moth,Lepidoptera,Geometridae
438,Argia translata,Dusky Dancer,Odonata,Coenagrionidae
439,Hexagenia limbata,giant burrowing mayfly,Ephemeroptera,Ephemeridae
440,Hypagyrtis unipunctata,"the one-spotted variant moth, white spot",Lepidoptera,Geometridae
441,Heterophleps triguttaria,three-spotted fillip,Lepidoptera,Geometridae
442,Mermiria bivittata,Two-striped Mermiria,Orthoptera,Acrididae
443,Harmonia conformis,the large spotted ladybird,Coleoptera,Coccinellidae
444,Prionoxystus robiniae," the carpenterworm moth, locust borer",Lepidoptera,Cossidae
445,Macaria liturata,tawny-barred angle moth,Lepidoptera,Geometridae
446,Caripeta piniata,northern pine looper,Lepidoptera,Geometridae
447,Lethe europa,bamboo treebrown butterfly,Lepidoptera,Nymphalidae
448,Callosamia angulifera,"tuliptree silkmoth, giant silkmoth",Lepidoptera,Saturniidae
449,Drepana arcuata,"Arched Hooktip, Masked Birch Caterpillar",Lepidoptera,Drepanidae
450,Eucopina tocullionana,white pine cone borer,Lepidoptera,Tortricidae
451,Ganyra josephina,white pine cone borer,Lepidoptera,Pieridae
452,Neurothemis taiwanensis,Painted Grasshawk,Odonata,Libellulidae
453,Evania appendigaster,blue-eyed ensign wasp,Hymenoptera,Evaniidae
454,Mesoligia furuncula,Cloacked Minor,Lepidoptera,Noctuidae
455,Rasahus hamatus, the corsair,Hemiptera,Reduviidae
456,Cosmopepla lintneriana,twice stabbed stink bug,Hemiptera,Pentatomidae
457,Aedes aegypti,Yellow Fever Mosquito,Diptera,Culicidae
458,Phyciodes cocyta,The Northern Crescent,Lepidoptera,Nymphalidae
459,Eunica monima,dingy purplewing,Lepidoptera,Nymphalidae
460,Ochlodes sylvanus,Larger Skipper,Lepidoptera,Hesperiidae
461,Elophila obliteralis,Waterlily Leafcutter Moth,Lepidoptera,Crambidae
462,Tramea onusta,Red-mantled Saddlebags,Odonata,Libellulidae
463,Cyclophora pendulinaria,sweetfern geometer moth,Lepidoptera,Geometridae
464,Callizzia amorata,Gray scoopwing,Lepidoptera,Uraniidae
465,Acalymma vittatum,Stripped Cucumber Beetle,Coleoptera,Chrysomelidae
466,Copivaleria grotei,Grote's swallow moth,Lepidoptera,Noctuidae
467,Symbrenthia lilaea,Common Jester,Lepidoptera,Nymphalidae
468,Polistes dominula,European Paper Wasp,Hymenoptera,Vespidae
469,Zygogramma signatipennis,Leaf Beetle,Coleoptera,Chrysomelidae
470,Nymphalis xanthomelas,"Yellow-Legged Tortoiseshell, Scarce Tortoiseshell",Lepidoptera,Nymphalidae
471,Oebalus pugnax,rice stinkbug,Hemiptera,Pentatomidae
472,Decticus albifrons,Southern Wartbiter,Orthoptera,Tettigoniidae
473,Cerambyx scopolii,capricorn beetles,Coleoptera,Cerambycidae
474,Acanalonia conica,Planthopper,Hemiptera,Acanaloniidae
475,Tuberolachnus salignus,Giant Willow Aphid,Hemiptera,Aphididae
476,Conocephalus fuscus,long-winged conehead,Orthoptera,Tettigoniidae
477,Cupha erymanthis,Rustic,Lepidoptera,Nymphalidae
478,Crocidosema plebejana,cotton tipworm,Lepidoptera,Tortricidae
479,Acronicta oblinita,Smeared Dagger Moth,Lepidoptera,Noctuidae
480,Leptinotarsa decemlineata,Colorado potato beetle,Coleoptera,Chrysomelidae
481,Allograpta obliqua,"Common Oblique Syrphid, Oblique Streaktail",Diptera,Syrphidae
482,Plusiodonta compressipalpis,Moonseed moth,Lepidoptera,Erebidae
483,Phyciodes tharos,Pearl Crescent,Lepidoptera,Nymphalidae
484,Lema daturaphila,three-lined potato beetle,Coleoptera,Chrysomelidae
485,Leucoma salicis,"satin moth, white satin moth",Lepidoptera,Erebidae
486,Hyles gallii,Bedstraw Hawkmoth,Lepidoptera,Sphingidae
487,Erynnis brizo,Sleepy duskywing,Lepidoptera,Hesperiidae
488,Potamarcha congener,"yellow-tailed ashy skimmer, common chaser, swampwatcher",Odonata,Libellulidae
489,Lycaena heteronea,Blue copper,Lepidoptera,Lycaenidae
490,Psyche casta,bagworm moths,Lepidoptera,Psychidae
491,Chrysopa oculata,Green lacewing,Neuroptera,Chrysopidae
492,Periplaneta australasiae,australian cockroach,Blattodea,Blattidae
493,Vanessa indica,Indian Red Admiral,Lepidoptera,Nymphalidae
494,Brachydiplax chalybea,"yellow-patched lieutenant, rufous-backed marsh hawk, blue dasher",Odonata,Libellulidae
495,Acronicta vinnula,Delightful Dagger Moth,Lepidoptera,Noctuidae
496,Gymnoscelis rufifasciata,double-striped pug,Lepidoptera,Geometridae
497,Lethe eurydice,,Lepidoptera,Nymphalidae
498,Morrisonia latex,Fluid Arches Moth,Lepidoptera,Noctuidae
499,Nedra ramosula,Gray Half-Spot Moth,Lepidoptera,Noctuidae
500,Tirumala septentrionis,Dark Blue Tiger,Lepidoptera,Nymphalidae
501,Cantao ocellatus,shield bug,Hemiptera,Scutelleridae
502,Argia fumipennis,Variable Dancer,Odonata,Coenagrionidae
503,Miltochrista miniata,Rosy Footman,Lepidoptera,Erebidae
504,Dindymus versicolor,Harlequin Bug,Hemiptera,Pyrrhocoridae
505,Polistes dorsalis,lesser paper wasp,Hymenoptera,Vespidae
506,Philanthus gibbosus,beewolf,Hymenoptera,Crabronidae
507,Anageshna primordialis,Yellow-Spotted Webworm,Lepidoptera,Crambidae
508,Scopula rubraria,Plantain moth,Lepidoptera,Geometridae
509,Burnsius philetas,desert checkered-skipper,Lepidoptera,Hesperiidae
510,Libellula forensis,eight spotted skimmer,Odonata,Libellulidae
511,Necrodes surinamensis,Red-Lined Carrion Beetle,Coleoptera,Silphidae
512,Castalius rosimon,Common Pierrot,Lepidoptera,Lycaenidae
513,Leptoglossus clypealis,western leaf-footed bug,Hemiptera,Coreidae
514,Opodiphthera eucalypti,the emperor gum moth,Lepidoptera,Saturniidae
515,Celastrina neglecta,summer azure,Lepidoptera,Lycaenidae
516,Herpetogramma phaeopteralis,grassworm,Lepidoptera,Crambidae
517,Operophtera brumata,Winter moth,Lepidoptera,Geometridae
518,Eumorpha pandorus,Pandora sphinx moth,Lepidoptera,Sphingidae
519,Colladonus clitellarius,Saddled leafhopper,Hemiptera,Cicadellidae
520,Paectes oculatrix,the eyed paectes,Lepidoptera,Euteliidae
521,Thyris sepulchralis,the eyed paectes,Lepidoptera,Thyrididae
522,Pterophylla camellifolia,"common true katydid,northern true katydid, rough-winged katydid",Orthoptera,Tettigoniidae
523,Spodoptera litura,"Tobacco Cutworm, Cotton Leafworm",Lepidoptera,Noctuidae
524,Hypsopygia binodulalis,Pink-fringed Dolichomia Moth,Lepidoptera,Pyralidae
525,Uraba lugens,Gum-leaf Skeletoniser,Lepidoptera,Nolidae
526,Libellula vibrans,great blue skimmer,Odonata,Libellulidae
527,Orthetrum luzonicum,"tricolored marsh hawk,slender blue skimmer",Odonata,Libellulidae
528,Diaphania hyalinata,Melonworm Moth,Lepidoptera,Crambidae
529,Carabus nemoralis,bronze carabid,Coleoptera,Carabidae
530,Pseudovadonia livida,the fairy-ring longhorn beetle,Coleoptera,Cerambycidae
531,Eudryas grata,beautiful wood nymph,Lepidoptera,Noctuidae
532,Xanthogaleruca luteola,Elm Leaf Beetle,Coleoptera,Chrysomelidae
533,Bombus perplexus,confusing bumblebee,Hymenoptera,Apidae
534,Elaphria grata,Grateful Medget Moth,Lepidoptera,Noctuidae
535,Papilio multicaudata,Two-tailed Swallowtail,Lepidoptera,Papilionidae
536,Idia aemula,"powdered snout, waved tabby",Lepidoptera,Erebidae
537,Calvia quatuordecimguttata,Cream Spot Ladybird,Coleoptera,Coccinellidae
538,Sphenarches anisodactylus,geranium plume moth,Lepidoptera,Pterophoridae
539,Autographa gamma," Silver Y moth, gamma owlet",Lepidoptera,Noctuidae
540,Scudderia furcata,fork-tailed bush katydid,Orthoptera,Tettigoniidae
541,Autochton cellus,fork-tailed bush katydid,Lepidoptera,Hesperiidae
542,Pontia occidentalis,Western white,Lepidoptera,Pieridae
543,Homalodisca vitripennis,glassy winged sharpshooter,Hemiptera,Cicadellidae
544,Vanessa gonerilla,New Zealand Red Admiral,Lepidoptera,Nymphalidae
545,Leptostales pannaria,pannaria wave moth,Lepidoptera,Geometridae
546,Cyllopsis gemma,Gemmed satyr,Lepidoptera,Nymphalidae
547,Rhapsa scotosialis,the slender owlet moth,Lepidoptera,Erebidae
548,Colobura dirce,"dirce beauty, mosaic, zebra mosaic",Lepidoptera,Nymphalidae
549,Scoliopteryx libatrix,herald moth,Lepidoptera,Erebidae
550,Polites sabuleti,Sandhill skipper,Lepidoptera,Hesperiidae
551,Thyanta custator,Red-shouldered Stink Bug,Hemiptera,Pentatomidae
552,Pachypsylla venusta,hackberry petiole gall,Hemiptera,Aphalaridae
553,Epirrhoe alternata,"Common Carpet, 
White-Banded Toothed Carpet",Lepidoptera,Geometridae
554,Maniola jurtina,Meadow Brown,Lepidoptera,Nymphalidae
555,Boloria bellona,meadow fritillary,Lepidoptera,Nymphalidae
556,Euptoieta hegesia,Mexican fritillary,Lepidoptera,Nymphalidae
557,Gomphaeschna furcillata,harlequin darner,Odonata,Aeshnidae
558,Mydas clavatus,Clubbed Mydas Fly,Diptera,Mydidae
559,Melanitis leda,Common evening brown,Lepidoptera,Nymphalidae
560,Arigomphus villosipes,Unicorn Clubtail,Odonata,Gomphidae
561,Trachymela sloanei,"Austrailian Tortoise Beetle, Small Eucalyptus Tortoise Beetle",Coleoptera,Chrysomelidae
562,Lestes virens,"small emerald damselfly, small spreadwing",Odonata,Lestidae
563,Trypoxylus dichotomus,Japanese Rhinoceros Beetle,Coleoptera,Scarabaeidae
564,Polistes exclamans,"Guinea Paper Wasp,Guinea Wasp, Common Paper Wasp, Zebra Paper Wasp",Hymenoptera,Vespidae
565,Sympetrum meridionale,Southern Darter,Odonata,Libellulidae
566,Stiretrus anchorago,Anchor Stink Bug,Hemiptera,Pentatomidae
567,Platynota flavedana,the black-shaded platynota moth,Lepidoptera,Tortricidae
568,Arrhenodes minutus,Oak Timberworm,Coleoptera,Brentidae
569,Euchroma giganteum,"Metallic Wood Boring Beetle, Giant Metallic Ceiba Borer",Coleoptera,Buprestidae
570,Epyaxa rosearia,"New Zealand Looper, Plantain Moth",Lepidoptera,Geometridae
571,Lygaeus equestris,black-and-red bug,Hemiptera,Lygaeidae
572,Eurosta solidaginis,"The goldenrod gall fly,goldenrod ball gallmaker",Diptera,Tephritidae
573,Strymon melinus,Gray Hairstreak,Lepidoptera,Lycaenidae
574,Lagria hirta,darkling beetle,Coleoptera,Tenebrionidae
575,Battus philenor,"pipevine swallowtail, blue swallowtail",Lepidoptera,Papilionidae
576,Hypena deceptalis,deceptive bomolocha moth,Lepidoptera,Erebidae
577,Protoboarmia porcelaria,"the porcelain gray, dash-lined looper",Lepidoptera,Geometridae
578,Coloradia pandora,Pandora pinemoth,Lepidoptera,Saturniidae
579,Otiorhynchus sulcatus,Black vine weevil,Coleoptera,Curculionidae
580,Thecla betulae,Brown Hairstreak,Lepidoptera,Lycaenidae
581,Watsonalla cultraria,Barred Hook-tip,Lepidoptera,Drepanidae
582,Enallagma vesperum,Vesper Bluet,Odonata,Coenagrionidae
583,Polistes fuscatus,"golden paper wasp, northern paper wasp,dark paper wasp",Hymenoptera,Vespidae
584,Achalarus lyciades,"golden paper wasp, northern paper wasp,dark paper wasp",Lepidoptera,Hesperiidae
585,Lacinipolia olivacea,olive arches moth,Lepidoptera,Noctuidae
586,Cicindela repanda,Bronzed tiger beetle,Coleoptera,Carabidae
587,Papilio palamedes,Palamedes swallowtail,Lepidoptera,Papilionidae
588,Geitoneura klugii,"common xenica, Klug's xenica",Lepidoptera,Nymphalidae
589,Argynnis paphia,Silver-Washed Fritillary,Lepidoptera,Nymphalidae
590,Sceliphron caementarium,black and yellow mud dauber,Hymenoptera,Sphecidae
591,Cicindela sexguttata,Six-spotted tiger beetle,Coleoptera,Carabidae
592,Macaria alternata,sharp-angled peacock moth,Lepidoptera,Geometridae
593,Hermeuptychia sosybius,Carolina satyr,Lepidoptera,Nymphalidae
594,Peridea angulosa,angulose prominent moth,Lepidoptera,Notodontidae
595,Chromagrion conditum,"Aurora damsel, black and blue damselfly",Odonata,Coenagrionidae
596,Asota heliconia,Snouted Tiger Moth,Lepidoptera,Erebidae
597,Callophrys henrici,"Henry's elfin, woodland elfin",Lepidoptera,Lycaenidae
598,Mantis religiosa,European Mantis,Mantodea,Mantidae
599,Syntomoides imaon,Handmaiden Moth,Lepidoptera,Erebidae
600,Cheilomenes lunata,Lunate ladybird beetle,Coleoptera,Coccinellidae
601,Conocephalus fasciatus,Slender Meadow Katydid,Orthoptera,Tettigoniidae
602,Trithemis arteriosa,Red-veined Dropwing,Odonata,Libellulidae
603,Trithemis kirbyi,"Kirby's Dropwing, Orange-winged Dropwing, Scarlet Rock Glider",Odonata,Libellulidae
604,Anaea andria,"Goatweed Leafwing, Goatweed Butterfly",Lepidoptera,Nymphalidae
605,Acrolophus texanella,Taxas Grass Tubeworm Moth,Lepidoptera,Tineidae
606,Monochamus clamator,Spotted Pine Sawyer,Coleoptera,Cerambycidae
607,Nasiaeschna pentacantha,Cyrano Darner,Odonata,Aeshnidae
608,Chlosyne janais,"Crimson Patch, janais patch",Lepidoptera,Nymphalidae
609,Drepana bilineata,Two-Lined Hooktip,Lepidoptera,Drepanidae
610,Didymops transversa,Stream Cruiser,Odonata,Macromiidae
611,Epimecis hortaria,Tulip-Tree Beauty,Lepidoptera,Geometridae
612,Orgyia leucostigma,White-marked Tussock Moth,Lepidoptera,Erebidae
613,Orthetrum chrysostigma,Epaulet Skimmer,Odonata,Libellulidae
614,Celithemis elisa,calico pennant,Odonata,Libellulidae
615,Polygonia c-aureum,Asian comma,Lepidoptera,Nymphalidae
616,Aphis nerii,"Oleander Aphid, Milkweed Aphid, 
Sweet Pepper Aphid, Nerium Aphid",Hemiptera,Aphididae
617,Pyrrharctia isabella," isabella tiger moth, the banded woolly bear, woolly bear, woolly worm",Lepidoptera,Erebidae
618,Lampides boeticus,"pea blue, long-tailed blue",Lepidoptera,Lycaenidae
619,Leptophyes punctatissima,speckled bush-cricket,Orthoptera,Tettigoniidae
620,Libellula croceipennis,Neon skimmer,Odonata,Libellulidae
621,Papilio eurymedon,"the pale swallowtail, pallid swallowtail",Lepidoptera,Papilionidae
622,Isturgia dislocaria,pale-veined isturgia moth,Lepidoptera,Geometridae
623,Agriphila tristella,Grass-Veneer,Lepidoptera,Crambidae
624,Mimas tiliae,Lime Hawk-Moth,Lepidoptera,Sphingidae
625,Parallelia bistriaris,maple looper moth,Lepidoptera,Erebidae
626,Strangalepta abbreviata,,Coleoptera,Cerambycidae
627,Argynnis pandora,Cardinal,Lepidoptera,Nymphalidae
628,Dictyophorus spumans,"Koppie Foam Grasshopper, Rooibaadjie",Orthoptera,Pyrgomorphidae
629,Callophrys niphon,Eastern pine elfin,Lepidoptera,Lycaenidae
630,Argynnis hyperbius,Indian Fritillary,Lepidoptera,Nymphalidae
631,Synaphe punctalis, Long-legged Tabby,Lepidoptera,Pyralidae
632,Gomphurus fraternus,The Midland Clubtail,Odonata,Gomphidae
633,Catocala ilia,"Ilia underwing,beloved underwing,wife underwing",Lepidoptera,Erebidae
634,Trichoplusia ni,Cabbage Looper,Lepidoptera,Noctuidae
635,Desmocerus palliatus,Elderberry Borer,Coleoptera,Cerambycidae
636,Paleacrita vernata,spring cankerworm,Lepidoptera,Geometridae
637,Papilio machaon," the Old World swallowtail,common yellow swallowtail, the swallowtail",Lepidoptera,Papilionidae
638,Chloroclysta siterata,red-green carpet,Lepidoptera,Geometridae
639,Carpocoris mediterraneus, red shield bug,Hemiptera,Pentatomidae
640,Olla v-nigrum,ashy gray lady beetle,Coleoptera,Coccinellidae
641,Orthonama obstipata,the gem,Lepidoptera,Geometridae
642,Calledapteryx dryopterata,brown scoopwing moth,Lepidoptera,Uraniidae
643,Catocala grynea, woody underwing,Lepidoptera,Erebidae
644,Apiomerus californicus,California Bee Assasin,Hemiptera,Reduviidae
645,Libellula incesta,slaty skimmer,Odonata,Libellulidae
646,Phaneroptera nana,"mediterranean katydid, southern sickle bush-cricket",Orthoptera,Tettigoniidae
647,Loxura atymnus,yamfly,Lepidoptera,Lycaenidae
648,Palthis angulalis,dark-spotted palthis,Lepidoptera,Erebidae
649,Megaphasma denticrus,Giant Walkingstick,Phasmida,Diapheromeridae
650,Pyralis farinalis,meal moth,Lepidoptera,Pyralidae
651,Spodoptera mauritia,"Lawn Armyworm, Paddy Swarming Caterpillar",Lepidoptera,Noctuidae
652,Megarhyssa atrata,Black Giant Ichneumonid Wasp,Hymenoptera,Ichneumonidae
653,Zygaena lonicerae,Narrow-Banded Five-Spot Burnet,Lepidoptera,Zygaenidae
654,Dryadula phaetusa,"Banded Orange Heliconian, Banded Orange, 
Orange Tiger ",Lepidoptera,Nymphalidae
655,Elophila gyralis,Waterlily Borer Moth,Lepidoptera,Crambidae
656,Junonia hedonia,Chocolate Argus,Lepidoptera,Nymphalidae
657,Clepsis virescana,light brown apple moth,Lepidoptera,Tortricidae
658,Meloe proscarabaeus,Euaropean Oil Beetle,Coleoptera,Meloidae
659,Wallengrenia egeremet,Wallengrenia egeremet,Lepidoptera,Hesperiidae
660,Erynnis funeralis,Funereal Duskywing,Lepidoptera,Hesperiidae
661,Hierodula patellifera,Giant Asian mantis,Mantodea,Mantidae
662,Ischnura kellicotti,the lilypad forktail,Odonata,Coenagrionidae
663,Papilio helenus,Red Helen,Lepidoptera,Papilionidae
664,Ocybadistes walkeri,"greenish grass-dart, green grass-dart, southern dart,yellow-banded dart,",Lepidoptera,Hesperiidae
665,Platycnemis pennipes,The white-legged damselfly or blue featherleg,Odonata,Platycnemididae
666,Halyzia sedecimguttata,orange ladybird,Coleoptera,Coccinellidae
667,Pyrausta laticlavia,"southern purple mint moth
",Lepidoptera,Crambidae
668,Volucella zonaria,Horrnet Mimic Hoverfly,Diptera,Syrphidae
669,Megachile xylocopoides,Carpenter-mimic Leafcutter Bee,Hymenoptera,Megachilidae
670,Endotricha flammealis,Rose-Floounced Tabby,Lepidoptera,Pyralidae
671,Lestes rectangularis,slender spreadwing,Odonata,Lestidae
672,Euclidia glyphica,Burnet companion moth,Lepidoptera,Erebidae
673,Dryocampa rubicunda,Rosy Maple Moth,Lepidoptera,Saturniidae
674,Phyllodesma americana,American lappet moth,Lepidoptera,Lasiocampidae
675,Anax imperator,Emperor Dragonfly,Odonata,Aeshnidae
676,Tolype laricis,"Larch Tolype, Larch Lappet Moth",Lepidoptera,Lasiocampidae
677,Malacosoma disstria,Forest Tent Caterpillar moth,Lepidoptera,Lasiocampidae
678,Agrius cingulata,"Pink-Spotted Hawkmoth, 
Sweetpotato Hornwrm",Lepidoptera,Sphingidae
679,Erythemis collocata,Western Pondhawk,Odonata,Libellulidae
680,Orocrambus flexuosellus,Grass moth,Lepidoptera,Crambidae
681,Cicindela scutellaris,festive tiger beetle,Coleoptera,Carabidae
682,Sphinx pinastri,pine hawkmoth,Lepidoptera,Sphingidae
683,Dysstroma citrata,"Dark Marbled Carpet Moth, 
Northern Marbled Carpet Moth",Lepidoptera,Geometridae
684,Leucorrhinia hudsonica,hudsonian whiteface,Odonata,Libellulidae
685,Cordulia aenea,Downy emerald,Odonata,Corduliidae
686,Agriphila vulgivagellus,"Vagabond Sod Webworm, Vagabond Crambus",Lepidoptera,Crambidae
687,Ypsolopha dentella,Eastern Honeysuckle Moth,Lepidoptera,Ypsolophidae
688,Bombus fervidus,"the golden northern bumble bee,yellow bumblebee",Hymenoptera,Apidae
689,Hypolimnas misippus,"Danaid eggfly, mimic,diadem",Lepidoptera,Nymphalidae
690,Apis florea,Dwarf Honey Bee,Hymenoptera,Apidae
691,Dysstroma truncata,Common Marbled Carpet Moth,Lepidoptera,Geometridae
692,Solenopsis invicta,red imported fire ant,Hymenoptera,Formicidae
693,Eleodes osculans,Woody Darkling Beetle,Coleoptera,Tenebrionidae
694,Cossus cossus,Goat moth,Lepidoptera,Cossidae
695,Aquarius remigis,Common Water Strider,Hemiptera,Gerridae
696,Stomoxys calcitrans,"Stable Fly, Biting House Fly, Dog Fly, Power Mower Fly",Diptera,Muscidae
697,Cicadella viridis,Green leafhopper,Hemiptera,Cicadellidae
698,Plutella xylostella,Diamondback moth,Lepidoptera,Plutellidae
699,Historis odius,Orion Cecropian,Lepidoptera,Nymphalidae
700,Agrilus planipennis,Emerald Ash Borer,Coleoptera,Buprestidae
701,Augochloropsis metallica,Metallic Epauletted-Sweat Bee,Hymenoptera,Halictidae
702,Cicindela duodecimguttata,Twelve-spotted tiger beetle,Coleoptera,Carabidae
703,Zonocerus elegans,Gaudy Grasshopper,Orthoptera,Pyrgomorphidae
704,Autographa californica,alfalfa looper,Lepidoptera,Noctuidae
705,Chauliognathus pensylvanicus,"Goldenrod Soldier Beetle, Pennsylvania
Leatherwing",Coleoptera,Cantharidae
706,Euodynerus hidalgo,,Hymenoptera,Vespidae
707,Tropidacris collaris,Violet-winged Grasshopper,Orthoptera,Romaleidae
708,Euphoria basalis,,Coleoptera,Scarabaeidae
709,Copaeodes aurantiaca,Orange skipperling,Lepidoptera,Hesperiidae
710,Scolia hirta,scoliid wasps,Hymenoptera,Scoliidae
711,Polygonia progne,Gray Comma,Lepidoptera,Nymphalidae
712,Vanessa braziliensis,Brazilian Painted Lady,Lepidoptera,Nymphalidae
713,Colotois pennaria,feathered thorn ,Lepidoptera,Geometridae
714,Acronicta innotata,"Umarked Dagger Moth, Birch Dagger Moth",Lepidoptera,Noctuidae
715,Phyprosopus callitrichoides,curve-lined owlet,Lepidoptera,Erebidae
716,Entylia carinata,Keeled Treehopper,Hemiptera,Membracidae
717,Gomphurus vastus,the cobra clubtail,Odonata,Gomphidae
718,Formica rufa,"red wood ant, southern wood ant,horse ant,",Hymenoptera,Formicidae
