Scientific.Name,Common.Name,Name,English.Natural.language.captions,Scientific.terminology,ChatGPT,count
Phrissogonus laticostata,apple looper,Naresh,Brown moth with wavy pattern of darker brown,Male has projecting bunches of hair-like scales on costa of each forewing,"I'm sorry, but I am unable to find any information on a species called ""Phrissogonus laticostata."" It is possible that you have misspelled the name or that this is a fictional species. I recommend double-checking the spelling of the name and searching for additional information from reliable sources.",1921
Mallodon dasystomus,Hardwood stump borer,Naresh,Black and brown beetle,"Dark brown Males have a longer body, females are round. boxy thorax with fine teeth on the outer edges, mandibles nearly horizontal","Mallodon dasystomus is a large, extinct species of elephant-like mammal that lived in North America during the Pleistocene epoch. It had a large, bulky body with a long, curved trunk and four short, thick legs. Its head was large and round, with two long tusks protruding from its upper jaw. Its fur was short and grayish-brown in color. It had a short, stubby tail and small ears. Its feet were large and flat, with four toes on each foot.",1620
Lycomorpha pholus,Black-and-yellow lichen moth,Naresh,Black moth with orange color on upper wings,"Adults bluish-black wings, with a yellow, orange or red basal area, black distal area","Lycomorpha pholus is a small, black and white butterfly with a wingspan of approximately 1.5 inches. Its wings are black with white spots and its body is black with white stripes. Its antennae are black and its legs are white. Its eyes are black and its proboscis is long and thin.",1311
Nasiaeschna pentacantha,Cyrano Darner,Naresh,Brown dragonfly with bluish mosaic patterns," Dragonfly thorax is brown with green thoracic side stripes, female's abdomen is stout and cylindrical","Nasiaeschna pentacantha, also known as the Five-Spined Darner, is a species of dragonfly in the family Aeshnidae. It is native to North America, including parts of Canada and the United States. The adult dragonfly is large, with a body length of about 2 inches (5 cm). It is metallic green or blue in color, with a series of distinctive black and white markings on the thorax and wings. The head is small and triangular, with a pair of long, slender antennae. The legs are long and thin, and the dragonfly has a pair of hardened, digging forelegs that it uses to burrow into the soil and bury its eggs. The larvae of N. pentacantha are green or brown in color and can reach lengths of up to 1 inch (2.5 cm). They are often found feeding on a variety of insects, including flies, mosquitoes, and beetles. Nasiaeschna pentacantha is a common dragonfly that is often seen flying in open, sunny areas, such as fields and meadows. It is known for its fast flying speed and is often found near bodies of water.",995
Euthalia aconthea,the common baron,Naresh,Brown butterfly with green shade,"Dark brown male, forewing with four to five small white spots, both wings with a subterminal series of dark spots",Euthalia aconthea is a medium-sized butterfly with a wingspan of approximately 4.5 cm. The upper side of the wings is a bright orange-brown color with a black border and white spots. The underside of the wings is a pale yellow-brown color with a black border and white spots. The antennae are black and white. The body is black and white with a yellow-brown abdomen.,1542
Brachythemis leucosticta,Southern Banded Groundling,Naresh,Black and yellow dragonfly,"Males black color with brown margined wings, females in yellow color with brown lines",Brachythemis leucosticta is a medium-sized dragonfly species with a wingspan of about 4.5 cm. It has a black body with a white stripe running down the center of its thorax and abdomen. Its eyes are bright green and its wings are transparent with a yellowish tint. Its legs are black and its abdomen is yellowish-brown.,1072
Bombus auricomus,black and gold bumblebee,Naresh,Black bumble bee with golden spots ,"Queens and workers with black face with yellow hairs, thorax is yellow with black band between wings","Bombus auricomus is a medium-sized bumblebee species with a body length of about 15-20 mm. It has a black head and thorax, with a yellow collar and yellow stripes on the thorax. The abdomen is black with yellow bands on the sides and a yellow tip. The wings are transparent and the legs are black.",4752
Efferia aestuans,Friendly Robber,Naresh,Reddish-black hairy fly,"Tibiae partially reddish, mystax black, ventral surface of abdomen has long white hairs; female has long blade-like ovipositor","I'm sorry, but I am not able to find any information about a species called Efferia aestuans. It's possible that the name you provided is incorrect, or that this species is not well known or documented. Could you provide more context or clarify what you are looking for?",2671
Scopula immorata,Lewes wave,Naresh,White moth with yellow lines,"Silk white with yellow dusting of varying intensity on both hind, fore wings","Scopula immorata, also known as the bent-line gray, is a species of moth that is found in various parts of the United States, including California, Colorado, and Texas. It belongs to the family Geometridae, which is a group of moths known for their slender bodies and wings and their distinctive flying style.Scopula immorata is a small to medium-sized moth, with a wingspan of about 3 to 4 centimeters. The upper wings are typically gray or brown in color and have a series of dark, wavy lines running across them. The hind wings are usually lighter in color and have a row of small, transparent cells along the outer edge. The thorax is typically gray or brown in color, and the abdomen is elongated and slender. The moth has long, thin antennae and a pair of small, simple eyes.Scopula immorata is found in a variety of habitats, including forests, fields, and gardens. It is active at night, and it feeds on a variety of plants, including grasses, shrubs, and trees. The females lay their eggs on the underside of leaves, and the larvae, or caterpillars, feed on the leaves of their host plants. Scopula immorata is not considered to be threatened or endangered.",1000
Orthetrum chrysostigma,Epaulet Skimmer,Naresh,Blue and yellow color dragonflies,"Both Thorax, abdomen blue color in males, yellow color in females","Orthetrum chrysostigma is a species of dragonfly that is found in various parts of Africa, including Cameroon, Ghana, and Senegal. It belongs to the family Libellulidae, which is a group of insects known for their colorful patterns and agile flight.Orthetrum chrysostigma is a medium-sized dragonfly, with a wingspan of about 5 to 6 centimeters. The upper wings are typically dark brown or black in color and have a series of bright yellow or orange markings along the outer edge. The hind wings are usually darker in color, and they have a row of small, transparent cells along the outer edge. The thorax is usually dark brown or black in color, and it has a series of narrow, yellow or orange stripes running down the middle. The abdomen is elongated and typically yellow or orange in color, with black markings along the sides.Orthetrum chrysostigma is found in a variety of habitats, including marshes, swamps, and lakes. It is active during the day, and it feeds on a variety of insects, including flies, mosquitoes, and midges. The females lay their eggs in the water, and the larvae, or naiads, develop in the water before emerging as adult dragonflies. Orthetrum chrysostigma is not considered to be threatened or endangered.",1059
Eleodes osculans,Woody Darkling Beetle,Naresh,Brown hairy beetle,"Beetle with blackhead, brown abdomen, thorax with hairs","Eleodes osculans, also known as the kiss bug, is a species of insect in the family Tenebrionidae, which is a group of insects commonly known as darkling beetles. It is native to the southwestern United States and is found in various parts of this region, including Arizona, New Mexico, and Texas.Eleodes osculans is a small to medium-sized beetle, with a length of about 12 to 15 millimeters. It has a distinctive, elongated body that is dark brown or black in color. The upper surface of the body is covered in small, raised bumps, and the wings are folded over the top of the body when at rest. The underside of the body is typically yellow or orange in color.One of the most distinguishing features of Eleodes osculans is the pair of large, curved mandibles that it uses to defend itself. The mandibles are typically yellow or orange in color and are used to deter predators and signal to other members of the species.Eleodes osculans is found in a variety of habitats, including deserts, grasslands, and gardens. It is active during the day, and it feeds on a variety of plants, including herbs, shrubs, and trees. The eggs are laid on the ground, and the larvae, or grubs, burrow into the soil to feed on plant roots. Eleodes osculans is not considered to be threatened or endangered.",1551
Acrolophus texanella,Taxas Grass Tubeworm Moth,Naresh,Brown color moth ,Brown moth with yellow dots on forewing  and fuss like hair on hind wings,"Acrolophus texanella is a species of moth in the family Acrolophidae. It is native to North America, where it is found in parts of Texas and Oklahoma. The adult moths are small, with a wingspan of about 12-15 mm. They are pale brown in color, with a series of dark brown or black markings on their wings. The wings also have a scalloped or jagged appearance, due to the presence of fringed scales along the edges. The head and thorax are pale brown or cream-colored, and the abdomen is darker brown. The larvae of A. texanella are long and slender, with a pale brown or yellowish-green body and a dark brown head. They are typically found feeding on the leaves and stems of various plants, including grasses and weeds.",543
Atalantycha bilineata,"Two-Lined Leather-Wing, Two-Lined Cantharid",Naresh,Brown/black beetle with orange spots,"Pronotum black with narrow central, lateral orange yellow margins","Atalantycha bilineata, also known as the Two-Lined Spotted Treehopper, is a species of treehopper in the family Membracidae. It is native to North America, including parts of Canada and the United States. The adult treehopper is small, with a body length of about 0.25 inches (0.6 cm). It is green or brown in color, with a series of distinctive black and white markings on the thorax and wings. The head is small and triangular, with a pair of short antennae. The legs are short and spiny, and the treehopper has a pair of hardened, digging forelegs that it uses to burrow into the soil and bury its eggs. The larvae of A. bilineata are white or pale yellow in color and can reach lengths of up to 0.25 inches (0.6 cm). They are often found feeding on the leaves of various plants, including trees and shrubs. Atalantycha bilineata is a common treehopper that is often seen flying in open, sunny areas, such as fields and meadows. It is known for its distinctive, ""hopping"" motion and is often attracted to lights at night.",1999
Idia rotundalis,the chocolate idia or rotund idia moth,Naresh,reddish brown moths,"reddish brown forewings, light hindwings, brown eyes","Idia rotundalis is a species of moth in the family Erebidae, which is a large and diverse group of moths that includes many species that are important agricultural pests. This species is native to North America, where it is found throughout much of the eastern and central United States. The adult moths of I. rotundalis are small, with a wingspan of about 15-20 mm. They are brown in color, with a series of pale brown or cream-colored markings on their wings. The wings are also somewhat transparent, with a distinctive ""scalloped"" or jagged appearance due to the presence of fringed scales along the edges. The head and thorax are brown, and the abdomen is typically a darker shade of brown. The larvae of I. rotundalis are elongated and slender, with a pale green or yellowish-brown body and a darker brown head. They are typically found feeding on the leaves and stems of various plants, including grasses, weeds, and agricultural crops.",618
Nymphalis antiopa,Morning Cloak,Naresh,"Brownish black butterfly with yellow edge, blue dots","Upper surface of wings deep maroon with sub-marginal black band with powder blue spots and a yellow marginal band, ventral side is black - resembling charred wood with marginal whitish-yellow band","Nymphalis antiopa, commonly known as the mourning cloak butterfly, is a species of brush-footed butterfly. It is a medium-sized butterfly, with a wingspan of approximately 5.5 to 8.5 cm. The upper side of the wings is a deep, velvety black, with a wide, bright yellow border. The underside of the wings is a mottled grayish-brown, with a row of yellow spots along the edges. The body is black with yellow spots on the abdomen.",23255
Polygonia progne,Gray Comma,Naresh,Bright orange brown butterfly with dark brown margins,"bright orange brown wings with yellow spots, dark border on the hindwing, underside of  wings have L-shaped silver markings","Polygonia progne, also known as the Grey Comma, is a species of butterfly in the family Nymphalidae. It is native to North America, including parts of Canada and the United States. The adult butterfly has a wingspan of about 2 inches (5 cm) and is characterized by its orange and black wings, which are marked with a series of distinctive white and blue spots. The body is orange and black in color, with a row of black spots running down the center of the thorax. The head is small and triangular, with a pair of long, slender antennae. The legs are short and spiny, and the butterfly has a pair of hardened, digging forelegs that it uses to burrow into the soil and bury its eggs. The larvae of P. progne are green or brown in color and can reach lengths of up to 1 inch (2.5 cm). They are often found feeding on the leaves of various plants, including trees and shrubs. Polygonia progne is a common butterfly that is often seen flying in open, sunny areas, such as fields and meadows. It is known for its distinctive, ""comma"" shaped markings on the wings and is often attracted to lights at night.",2008
Hapithus saltator,Jumping Bush Cricket,Naresh,orange color cricket,"Orange colored head, thorax, abdomen, ","I'm sorry, but I am unable to find any information on a species called ""Hapithus saltator."" It is possible that you have misspelled the name or that this is a fictional species. I recommend double-checking the spelling of the name and searching for additional information from reliable sources.",1065
Melanchra adjuncta,Hitched Arches,Naresh,Gray moth with white spots on upper wings,"Black and white moths with dark gray forewings with white spots, pale hindwings.",Melanchra adjuncta is a small to medium-sized moth with a wingspan of approximately 25-30 mm. The forewings are a dark brownish-black color with a white or yellowish-white band running along the costa. The hindwings are a lighter brownish-gray color. The antennae are short and thread-like. The body is a dark brownish-black color with a yellowish-white band running along the sides.,1470
Lineodes integra,eggplant leafroller moth/Nightshade leaf tier,Naresh,Whitish-brown moth with bulged eyes,"light brown forewings with a dark brown arc, hindwings are greyish brown, triangular spine directed upward from the sacculus","Lineodes integra, also known as the Complete Almond Moth, is a species of moth in the family Pyralidae. It is native to Central and South America, but has also been introduced to other parts of the world, including parts of the United States. The adult moth has a wingspan of about 1.5 inches (3.8 cm) and is gray or brown in color, with a series of distinctive black and white markings on the wings and thorax. The body is slender and elongated, with long antennae and a small, pointed head. The legs are short and spiny, and the moth has a pair of hardened, digging forelegs that it uses to burrow into the soil and bury its eggs. The larvae of L. integra are green or brown in color and can reach lengths of up to 1 inch (2.5 cm). They are often found feeding on the leaves of various plants, including trees and shrubs. Lineodes integra is a common moth that is often seen flying in open, sunny areas, such as fields and meadows. It is known for its distinctive, ""zig-zag"" shaped markings on the wings and is often attracted to lights at night.",1337
Chlorochroa sayi,Say's stink bug,Naresh,Dark green bug with yellow border,"Bug is oval, green to brownish, with pale whitish or yellow margin on pronotum and elytra; membrane at apex of forewing often clear or translucent","Chlorochroa sayi, also known as the Say's Stink Bug, is a species of stink bug in the family Pentatomidae. It is native to North America, including parts of Canada and the United States. The adult stink bug is medium in size, with a body length of about 0.75 inches (1.9 cm). It is green or brown in color, with a series of distinctive black and white markings on the thorax and wings. The head is small and triangular, with a pair of short antennae. The legs are short and spiny, and the stink bug has a pair of hardened, digging forelegs that it uses to burrow into the soil and bury its eggs. The larvae of C. sayi are white or pale yellow in color and can reach lengths of up to 0.5 inches (1.3 cm). They are often found feeding on the leaves of various plants, including trees and shrubs. Chlorochroa sayi is a common stink bug that is often seen flying in open, sunny areas, such as fields and meadows. It is known for its distinctive, ""stink"" smell, which is produced by glands on the underside of the thorax.",553
Speyeria aphrodite,the Aphrodite fritillary,Naresh,reddish orange brown butterfly with black spots,"wings reddish orange or brown, with black spots, forewings have black spot surrounded by  black ""halo"", underside of hindwings have silver spots","Speyeria aphrodite, also known as the Aphrodite Fritillary, is a species of butterfly in the family Nymphalidae. It is native to North America, including parts of Canada and the United States. The adult butterfly has a wingspan of about 2 inches (5 cm) and is characterized by its orange and black wings, which are marked with a series of distinctive white and blue spots. The body is orange and black in color, with a row of black spots running down the center of the thorax. The head is small and triangular, with a pair of long, slender antennae. The legs are short and spiny, and the butterfly has a pair of hardened, digging forelegs that it uses to burrow into the soil and bury its eggs. The larvae of S. aphrodite are green or brown in color and can reach lengths of up to 1 inch (2.5 cm). They are often found feeding on the leaves of various plants, including trees and shrubs. Speyeria aphrodite is a common butterfly that is often seen flying in open, sunny areas, such as fields and meadows. It is known for its bright, colorful wings and is often attracted to lights at night.",1949
Isa textula,crowned slug moth,Naresh,greenish caterpillar with sting hairs and brown moth,"caterpillars are flattened, oval, pastel green with plumes of stinging hairs, pair of ""horns"" on front, pair of stinging plumes on rear, moths have brownish wings ","Isa textula is a small, slender species of sea snail. It has a white, conical shell with a pointed spire and a wide, flat base. The shell is covered in fine, spiral lines and has a glossy, pearly appearance. The aperture is wide and oval-shaped. The animal itself is a light brown or tan color, with a long, thin body and two pairs of tentacles. Its foot is large and muscular, allowing it to move quickly over the ocean floor.",1175
Gonepteryx rhamni,Common brimstone,Naresh,Green and yellow butterfly with orange spots,"Males have Sulphur yellow wings, females with greenish-white wing, orange spots in discoidal cell of each wing, pink head. caterpillars green color with white hairs, dark tuberculous",Gonepteryx rhamni is a medium-sized butterfly with a wingspan of approximately 50-60 mm. The upper side of the wings is yellowish-orange with a black border and a white fringe. The underside of the wings is pale yellow with a black border and a white fringe. The antennae are black and the body is yellowish-orange.,10190
Parapoynx badiusalis,chestnut-marked pondweed moth,Naresh,White moth with brown and yellow bands,"Moths with broad wings , spread out when at rest, white with bold black bands, a golden-yellow marginal band","Parapoynx badiusalis is a small, dark-colored moth with a wingspan of about 10-15 mm. Its forewings are dark brown to black in color, with a yellowish-brown band running along the costa. The hindwings are yellowish-brown with a dark brown border. Its antennae are short and thread-like.",931
Anartia jatrophae,White Peacock,Naresh,Silver color moth with yellow border,"Caterpillars black with silver or white dots, branched spines, butterfly is white with round black spot, light-to-dark brown crescent-shaped trim on forewing. Hindwing has two spots ","Anartia jatrophae is a medium-sized butterfly with a wingspan of about 2.5 inches. The upper side of the wings is a bright orange color with black markings, while the underside is a duller orange with white and black markings. The antennae are black and white, and the body is black with white spots.",10897
Thyatira batis,Peach Blossom,Naresh,Brown moth with orange centered white spots,"brown forewings marked with five pink, white blotches, hindwings are buff and grey","Thyatira batis is a small moth species with a wingspan of about 1.5 inches. The forewings are a dark brown color with a reddish-brown hue, while the hindwings are a lighter brown color. The body is a light brown color with a yellowish hue. The antennae are long and thin, and the eyes are black. The legs are short and thin.",1124
Anatis ocellata,Eyed Ladybug,Naresh,Orange beetle with black spots,"Larva is grey-black with spines. Beetle with whitish or orange spots along each side of the thoracic, abdominal midlines","Anatis ocellata, commonly known as the eyed click beetle, is a species of beetle in the family Elateridae. It is a medium-sized beetle, measuring between 8 and 15 mm in length. It is black in color, with a distinctive pattern of yellow spots on its back. Its head is black, with two large, round, yellow eyespots. Its antennae are black and long, and its legs are black and short. Its wings are short and black, and its abdomen is black and elongated.",1411
Austrolestes colensonis,Â blue damselfly,Naresh,Green and blue damselfly with dark brown markings,"Male is dark purplish-black, with blue markings, legs are black above, yellowish-brown beneath, abdomen is bright green in female","Austrolestes colensonis is a small, slender fish that grows to a maximum length of about 4 cm. It has a long, slender body with a pointed snout and a small, upturned mouth. Its coloration is variable, ranging from pale yellow to dark brown, with a dark stripe running along the midline of the body. The fins are transparent and the scales are small and cycloid.",833
Zizeeria karsandra, Dark Grass Blue,Naresh,Purple-brown moth with black spots,"Upper side purple-brown. Underside greyish brown, fore wing with a spot within discoidal cell, hind wing with a series of twelve black spots","Zizeeria karsandra is a small butterfly with a wingspan of about 1.5 inches (3.8 cm). The upper side of the wings is a bright, iridescent blue with a black border and white spots. The underside of the wings is a duller blue-gray with white spots and a black border. The body is black with white spots.",757
Teleogryllus commodus,Black Field Cricket,Naresh,Black cricket with dark bands,"Head short with vertical pale, dark bands at posterior margin, Abdomen pale brown with dark colored","Teleogryllus commodus is a species of cricket native to Australia and New Zealand. It is a small insect, typically measuring between 8-10mm in length. It has a black body with a yellowish-brown head and thorax. Its wings are transparent and its legs are long and thin. Its antennae are long and thin, and its eyes are large and black.",492
Tripudia quadrifera,No common name found,Naresh,Yellowish moth with brown markings,Yellowish moth with brown markings on forewings and plain hindwings,"Tripudia quadrifera is a species of insect in the family Aradidae, which is a group of insects commonly known as flat bugs or flatid bugs. It is native to the southwestern United States and is found in various parts of this region, including Arizona, California, and Nevada.Tripudia quadrifera is a small to medium-sized bug, with a length of about 5 to 8 millimeters. It has a distinctive, oval-shaped body that is brown or black in color. The upper surface of the body is covered in small, raised bumps, and the wings are folded over the top of the body when at rest. The underside of the body is typically yellow or orange in color.One of the most distinguishing features of Tripudia quadrifera is the pair of large, curved mandibles that it uses to defend itself. The mandibles are typically yellow or orange in color and are used to deter predators and signal to other members of the species.Tripudia quadrifera is found in a variety of habitats, including deserts, grasslands, and gardens. It is active during the day, and it feeds on a variety of plants, including herbs, shrubs, and trees. The eggs are laid on the underside of leaves, and the larvae, or nymphs, resemble small versions of the adult bugs. They are typically green or brown in color and have a similar pattern of lines on the body. Tripudia quadrifera is not considered to be threatened or endangered.",1269
Lestes sponsa,emerald damselfly,Naresh,Blue color damselfly ,"Males in powder blue color on prothorax with blue eyes, Females lacks blue color","Lestes sponsa is a species of damselfly in the family Lestidae. It is native to much of North America, including parts of the United States, Canada, and Mexico. The adult damselflies of L. sponsa are small to medium in size, with a body length of about 25-35 mm and a wingspan of about 40-50 mm. They are generally brown or black in color, with pale markings on their thorax and abdomen. The wings are transparent and have a distinctive, elongated shape. The eyes are large and widely spaced, and the legs are thin and elongated. Male L. sponsa can be distinguished from females by the presence of claspers at the end of the abdomen, which are used to grasp the female during mating. The larvae of L. sponsa are aquatic, and are typically found in shallow, stagnant water bodies such as ponds, marshes, and bogs. They are elongated and slender, with a brown or greenish-brown body and a pair of gills at the end of the abdomen. They feed on small aquatic insects and other invertebrates.",2303
Polygonia gracilis,Hoary comma,Naresh,Brownish orange butterfly with black spots,"Upper side is dark red-orange; hindwing with yellow. Underside is gray-brown; Silver spot at center of hindwing is fishhook-shaped, caterpillar is black, marked with white",Polygonia gracilis is a small butterfly with a wingspan of about 2.5 cm. The upper side of the wings is a dark brown color with a white border and a row of small orange spots. The underside of the wings is a pale grayish-brown color with a white border and a row of small orange spots. The body is black with white spots.,1206
Anax junius,"Green Darner, Common Green Darner",Naresh,Bluish purple dragonfly,Male is bluish-purple abdomens with black dorsal stripe. black ‘bulls-eye’ mark on face in front of eyes,"Anax junius, also known as the common green darner, is a species of dragonfly that is found in various parts of the United States, including California, Florida, and Texas. It belongs to the family Aeshnidae, which is a group of insects known for their large size and powerful flight.Anax junius is a large dragonfly, with a wingspan of about 7 to 8 centimeters. The upper wings are typically green or blue in color and have a series of dark spots along the outer edge. The hind wings are usually darker in color, and they have a row of small, transparent cells along the outer edge. The thorax is typically green or blue in color, and it has a series of narrow, yellow or orange stripes running down the middle. The abdomen is elongated and typically green or blue in color, with black markings along the sides.Anax junius is found in a variety of habitats, including marshes, swamps, and lakes. It is active during the day, and it feeds on a variety of insects, including flies, mosquitoes, and midges. The females lay their eggs in the water, and the larvae, or naiads, develop in the water before emerging as adult dragonflies. Anax junius is not considered to be threatened or endangered.",18782
Blepharomastix ranalis,hollow-spotted blepharomastix moth,Naresh,Pearl white mot with brown markings,"forewings and hindwings are silky white, outer margin of hindwings is blackish brown","I'm sorry, but I am not able to find any information about a species called Blepharomastix ranalis. It's possible that the name you provided is incorrect, or that this species is not well known or documented. Could you provide more context or clarify what you are looking for?",1447
Plebejus idas,lotis blue butterfly,Naresh,Blue butterfly with white margins,"upper side of male's wings is iridescent blue, underside of wing is greyish with black spots, large orange band with blue spots along wing margins",Plebejus idas is a small butterfly species with a wingspan of approximately 1.5 inches. The upper side of the wings is a bright blue color with a black border and white spots. The underside of the wings is a light gray color with a white border and black spots. The body is black with white spots.,1241
Tylozygus bifidus,Sharpshooter,Naresh,Greenish leafhopper with black stripes,"green forewings with black markings, light brown hindwings","I'm sorry, but I am unable to find any information about a species called Tylozygus bifidus. It is possible that the name you provided is incorrect or that this species does not exist. It is important to verify the accuracy of scientific names, as they are used to uniquely identify specific species and ensure that they are properly classified and studied. If you are unsure of the correct name for a species, you may want to consult a reliable source, such as a scientific database or a taxonomic reference guide.",1279
Corydalus cornutus,eastern dobsonfly,Naresh,Brown dobsonfly,"light brown larvae with covering of tiny dark brown micro spines, ","Corydalus cornutus, also known as the pied flycatcher, is a species of dragonfly in the Cordulegastridae family. It is native to North America and is found in a variety of habitats, including forests, fields, and gardens. The adult dragonfly has a length of about 3 inches (7.6 cm) and is generally black or brown in color with distinctive white and yellow markings. The thorax and abdomen are covered in short hairs, and the wings are transparent. The pied flycatcher is active during the day and is often seen flying near water, where it feeds on insects. It is known for its distinctive courtship behavior, in which the male uses its claspers to grasp the female's thorax.",3232
Helophilus trivittatus,The Footballer,Naresh,Yellow bee with dark brown lines,"Pale yellow stripes with three larger dark brown stripes on thorax, abdomen ","Helophilus trivittatus is a species of hoverfly, also known as a flower fly or syrphid fly. It is native to Europe and Asia, and is found in a variety of habitats including forests, grasslands, and agricultural areas. The adult flies of H. trivittatus are small to medium in size, with a body length of about 6-10 mm and a wingspan of about 10-15 mm. They are yellow or orange in color, with black markings on their thorax and abdomen. The wings are transparent and have a distinctive, elongated shape. The eyes are large and widely spaced, and the legs are thin and elongated. Female H. trivittatus can be distinguished from males by the presence of a small, pointed ovipositor at the end of the abdomen, which is used to lay eggs. The larvae of H. trivittatus are elongated and slender, with a pale green or yellowish body and a dark brown head. They are typically found feeding on small insects and other invertebrates, and may also feed on plant material.",2671
Nehalennia gracilis,Sphagnum Sprite,Naresh,Greenish-yellow damselfly with blue head,"Damselfly with bluish head, thorax and greenish yellow abdomen","I'm sorry, but I am unable to find any information about a species called Nehalennia gracilis. It is possible that the name you provided is incorrect or that this species does not exist. It is important to verify the accuracy of scientific names, as they are used to uniquely identify specific species and ensure that they are properly classified and studied. If you are unsure of the correct name for a species, you may want to consult a reliable source, such as a scientific database or a taxonomic reference guide.",520
Lytta magister,"desert blister beetle, master blister beetle",Naresh,Black beetles with red head,"Bug with black abdomen, red color head ,thorax. Legs are red , black eyes","Lytta magister is a small, black beetle with a glossy, hard exoskeleton. It has a rounded body shape and short antennae. Its legs are short and stout, and its head is slightly wider than its thorax. Its wings are short and its elytra are smooth and shiny. Its color ranges from black to dark brown.",906
Stenurella melanura,Flower longhorn beetle,Naresh,Black beetle with brownish yellow wings,"Beetle with black head, pronotum and abdomen. Elytra are yellow-brown in males, reddish in female","Stenurella melanura is a small, black beetle with a glossy, metallic sheen. It has a rounded body and short antennae. Its head is black and its thorax is a dark brown color. Its elytra (wing covers) are black with a yellowish-brown stripe running down the middle. Its legs are black and its abdomen is yellowish-brown. It is typically around 5-7 mm in length.",3042
Neurothemis fulvia,Fulvous Forest Skimmer,Naresh,Reddish -brown dragonfly with yellow wings,"reddish-brown face, thorax, abdomen and legs. Wings are clear amber yellow","Neurothemis fulvia, also known as the red-veined pintail, is a species of dragonfly that is found in various parts of Asia, including India, Indonesia, and Vietnam. It belongs to the family Libellulidae, which is a group of insects known for their colorful patterns and agile flight.Neurothemis fulvia is a medium-sized dragonfly, with a wingspan of about 5 to 6 centimeters. The upper wings are typically orange or red in color and have a series of dark spots along the outer edge. The hind wings are usually darker in color, and they have a row of small, transparent cells along the outer edge. The thorax is typically orange or red in color, and it has a series of narrow, black stripes running down the middle. The abdomen is elongated and typically orange or red in color, with black markings along the sides.Neurothemis fulvia is found in a variety of habitats, including marshes, swamps, and lakes. It is active during the day, and it feeds on a variety of insects, including flies, mosquitoes, and midges. The females lay their eggs in the water, and the larvae, or naiads, develop in the water before emerging as adult dragonflies. Neurothemis fulvia is not considered to be threatened or endangered.",1517
Leptinotarsa juncta,false potato beetle,Naresh,Brown beetle with black stripes,Beetle has brown mid-line between its two wings with five black stripes,"Leptinotarsa juncta is a species of beetle in the family Chrysomelidae, which is a large and diverse group of insects that includes many species that are important agricultural pests. This species is native to North and Central America, where it is found in a variety of habitats including forests, grasslands, and agricultural areas. The adult beetles of L. juncta are small to medium in size, with a body length of about 6-10 mm and a wingspan of about 10-15 mm. They are yellow or orange in color, with black markings on their thorax and abdomen. The wings are hardened and are used for flying, although they can also be folded under the body when not in use. The eyes are large and widely spaced, and the legs are thin and elongated. The larvae of L. juncta are elongated and slender, with a pale green or yellowish body and a dark brown head. They are typically found feeding on the leaves and stems of various plants, including agricultural crops such as potatoes, tomatoes, and corn. They can cause significant damage to crops if left unchecked.",2304
Cladara limitaria,mottled gray carpet moth,Naresh,Brown butterfly with green specks ,Dark wavy line spans on brown forewings with green specks,"I'm sorry, but I am not able to find any information about a species called Cladara limitaria. It's possible that the name you provided is incorrect, or that this species is not well known or documented. Could you provide more context or clarify what you are looking for?",900
Tolype velleda,"Large Tolype Moth, Velleda Lappet Moth",Naresh,Brown moth with whitish lines,Moths have whitish veins with gray subterminal band on  forewings. Hindwings dark gray with whitish median band,"Tolype velleda, commonly known as the Velleda moth, is a species of moth in the family Lasiocampidae. It is a medium-sized moth, with a wingspan of about 3.5 cm. The forewings are a pale yellowish-brown color, with a pattern of dark brown and black markings. The hindwings are a darker brown color, with a pattern of lighter brown and white markings. The body is a light brown color, with a pattern of darker brown and black markings. The antennae are long and thin, and the legs are long and slender.",1190
Apamea monoglypha,Dark Arches,Naresh,Brown moth with gray spots,"Forewing dark brown and black, black mark close to dorsum. hindwings are whitish with darker venation.  larva is dull whitish grey or dark grey","Apamea monoglypha is a medium-sized moth with a wingspan of approximately 30-35 mm. The forewings are a light greyish-brown color with a dark brown pattern of wavy lines and spots. The hindwings are a pale greyish-brown color. The antennae are long and thin, and the body is a dark brown color.",2380
Acrolophus arcanella,Grass Tubeworm Moth,Naresh,Brown moth ,"forewing is brownish, with a mixture of finely mottled pale, brown, blackish specks, legs are dark with lighter bands","Acrolophus arcanella is a small moth species with a wingspan of about 12-14 mm. Its forewings are light brown with a darker brown pattern, while its hindwings are a pale yellowish-brown. Its head and thorax are a light brown color, and its abdomen is a darker brown. Its antennae are short and feathery.",595
Zygaena filipendulae,Six-spot Burnet,Naresh,green color moth with red spots,"fore wings dark metallic green with six vivid red spots, spots yellow to black,  hind wings red with  blackish fringe, larvae pale green with black spots","Zygaena filipendulae is a species of day-flying moth in the Zygaenidae family. It is a medium-sized moth, with a wingspan of about 25–30 mm. The forewings are a bright, metallic green, with a black border and a black spot near the tip. The hindwings are a bright red, with a black border and a black spot near the tip. The body is black, with a yellow stripe running along the sides.",4365
Callistege mi,Mother Shipton moth,Naresh,Yellowish brown butterfly with white spots,"forewing with yellowish, hindwing yellow, larva is yellowish with a dorsal line dark","Callistege mi is a small, slender moth with a wingspan of about 1.5 cm. Its wings are a pale yellowish-brown color, with a darker brown pattern of lines and spots. Its body is a light brown color, and its antennae are long and thin.",857
